2023-05-19 22:04:51.872 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505094010, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.8, 'max_price': 27232.71, 'mark_price': 26829.2, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.76, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.76, 'current_funding': 0.0, 'change_id': 56005245118, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505094011322, 'usOut': 1684505094011558, 'usDiff': 236, 'testnet': False}
2023-05-19 22:04:52.115 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505094010, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.8, 'max_price': 27232.71, 'mark_price': 26829.2, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.76, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.76, 'current_funding': 0.0, 'change_id': 56005245118, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505094259865, 'usOut': 1684505094259994, 'usDiff': 129, 'testnet': False}
2023-05-19 22:04:52.357 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505094010, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.8, 'max_price': 27232.71, 'mark_price': 26829.2, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.76, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.76, 'current_funding': 0.0, 'change_id': 56005245118, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505094501973, 'usOut': 1684505094502081, 'usDiff': 108, 'testnet': False}
2023-05-19 22:04:52.612 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505094010, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.8, 'max_price': 27232.71, 'mark_price': 26829.2, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.76, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.76, 'current_funding': 0.0, 'change_id': 56005245118, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505094756762, 'usOut': 1684505094756989, 'usDiff': 227, 'testnet': False}
2023-05-19 22:04:52.875 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505095016, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.28, 'max_price': 27232.17, 'mark_price': 26828.6, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.37, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.37, 'current_funding': 0.0, 'change_id': 56005245339, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505095018833, 'usOut': 1684505095019196, 'usDiff': 363, 'testnet': False}
2023-05-19 22:04:53.133 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505095016, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.28, 'max_price': 27232.17, 'mark_price': 26828.6, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.37, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.37, 'current_funding': 0.0, 'change_id': 56005245339, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505095278401, 'usOut': 1684505095278507, 'usDiff': 106, 'testnet': False}
2023-05-19 22:04:53.393 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505095016, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.28, 'max_price': 27232.17, 'mark_price': 26828.6, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.37, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.37, 'current_funding': 0.0, 'change_id': 56005245339, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505095528904, 'usOut': 1684505095529134, 'usDiff': 230, 'testnet': False}
2023-05-19 22:04:53.635 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505095016, 'stats': {'volume_usd': 357745970.0, 'volume_notional': 357745970.0, 'volume': 13309.11752881, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26427.28, 'max_price': 27232.17, 'mark_price': 26828.6, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26818.37, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26818.37, 'current_funding': 0.0, 'change_id': 56005245339, 'bids': [[26825.0, 70130.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 70130.0, 'best_ask_price': 26825.5, 'best_ask_amount': 3540.0, 'asks': [[26825.5, 3540.0]]}, 'usIn': 1684505095780520, 'usOut': 1684505095780652, 'usDiff': 132, 'testnet': False}
2023-05-19 22:04:53.892 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505096035, 'stats': {'volume_usd': 357749510.0, 'volume_notional': 357749510.0, 'volume': 13309.2494928, 'price_change': -1.3986, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435337680, 'min_price': 26428.43, 'max_price': 27233.36, 'mark_price': 26829.82, 'last_price': 26825.5, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.56, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.56, 'current_funding': 0.0, 'change_id': 56005246275, 'bids': [[26828.0, 135930.0]], 'best_bid_price': 26828.0, 'best_bid_amount': 135930.0, 'best_ask_price': 26828.5, 'best_ask_amount': 9510.0, 'asks': [[26828.5, 9510.0]]}, 'usIn': 1684505096037339, 'usOut': 1684505096037504, 'usDiff': 165, 'testnet': False}
2023-05-19 22:04:54.152 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505096035, 'stats': {'volume_usd': 357749510.0, 'volume_notional': 357749510.0, 'volume': 13309.2494928, 'price_change': -1.3986, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435337680, 'min_price': 26428.43, 'max_price': 27233.36, 'mark_price': 26829.82, 'last_price': 26825.5, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.56, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.56, 'current_funding': 0.0, 'change_id': 56005246275, 'bids': [[26828.0, 135930.0]], 'best_bid_price': 26828.0, 'best_bid_amount': 135930.0, 'best_ask_price': 26828.5, 'best_ask_amount': 9510.0, 'asks': [[26828.5, 9510.0]]}, 'usIn': 1684505096293877, 'usOut': 1684505096293975, 'usDiff': 98, 'testnet': False}
2023-05-19 22:04:54.392 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505096035, 'stats': {'volume_usd': 357749510.0, 'volume_notional': 357749510.0, 'volume': 13309.2494928, 'price_change': -1.3986, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435337680, 'min_price': 26428.43, 'max_price': 27233.36, 'mark_price': 26829.82, 'last_price': 26825.5, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.56, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.56, 'current_funding': 0.0, 'change_id': 56005246275, 'bids': [[26828.0, 135930.0]], 'best_bid_price': 26828.0, 'best_bid_amount': 135930.0, 'best_ask_price': 26828.5, 'best_ask_amount': 9510.0, 'asks': [[26828.5, 9510.0]]}, 'usIn': 1684505096537450, 'usOut': 1684505096537558, 'usDiff': 108, 'testnet': False}
2023-05-19 22:04:54.637 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505096035, 'stats': {'volume_usd': 357749510.0, 'volume_notional': 357749510.0, 'volume': 13309.2494928, 'price_change': -1.3986, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435337680, 'min_price': 26428.43, 'max_price': 27233.36, 'mark_price': 26829.82, 'last_price': 26825.5, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.56, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.56, 'current_funding': 0.0, 'change_id': 56005246275, 'bids': [[26828.0, 135930.0]], 'best_bid_price': 26828.0, 'best_bid_amount': 135930.0, 'best_ask_price': 26828.5, 'best_ask_amount': 9510.0, 'asks': [[26828.5, 9510.0]]}, 'usIn': 1684505096782502, 'usOut': 1684505096782663, 'usDiff': 161, 'testnet': False}
2023-05-19 22:04:54.884 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505096035, 'stats': {'volume_usd': 357749510.0, 'volume_notional': 357749510.0, 'volume': 13309.2494928, 'price_change': -1.3986, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435337680, 'min_price': 26428.43, 'max_price': 27233.36, 'mark_price': 26829.82, 'last_price': 26825.5, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.56, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.56, 'current_funding': 0.0, 'change_id': 56005246275, 'bids': [[26828.0, 135930.0]], 'best_bid_price': 26828.0, 'best_bid_amount': 135930.0, 'best_ask_price': 26828.5, 'best_ask_amount': 9510.0, 'asks': [[26828.5, 9510.0]]}, 'usIn': 1684505097028000, 'usOut': 1684505097028193, 'usDiff': 193, 'testnet': False}
2023-05-19 22:04:55.130 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505097034, 'stats': {'volume_usd': 357749510.0, 'volume_notional': 357749510.0, 'volume': 13309.2494928, 'price_change': -1.3986, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435337680, 'min_price': 26429.46, 'max_price': 27234.41, 'mark_price': 26830.88, 'last_price': 26825.5, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26820.66, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26820.66, 'current_funding': 0.0, 'change_id': 56005246779, 'bids': [[26828.0, 136970.0]], 'best_bid_price': 26828.0, 'best_bid_amount': 136970.0, 'best_ask_price': 26828.5, 'best_ask_amount': 10850.0, 'asks': [[26828.5, 10850.0]]}, 'usIn': 1684505097270185, 'usOut': 1684505097270307, 'usDiff': 122, 'testnet': False}
